      ra          dec            significance
      347.702     -50.0750       3.0274255
      356.656     -52.2583       3.0270138
      356.294     -55.9792       3.0266728
      351.594     -56.0167       3.0257187
      347.512     -56.6632       3.0244389
      351.563     -59.9708       3.0243399
      357.005     -54.4271       3.0231657
      350.140     -59.3250       3.0207927
      350.628     -52.7354       3.0203941
      354.160     -51.4083       3.0188048
      345.076     -53.9313       3.0181568
      356.135     -57.4813       3.0181308
      353.631     -57.0917       3.0163136
      355.417     -55.7479       3.0158699
      353.901     -50.4604       3.0152445
      346.088     -53.9542       3.0134802
      350.031     -55.9792       3.0114796
      345.331     -50.7771       3.0112479
      353.464     -50.8896       3.0068746
